intersection_cluster,lat,lon,distance_group,accident_count
807,45.40468539999999,-75.70189270000002,100–150m,0
808,45.36695639999999,-75.6205717,50–100m,0
811,45.39561844999999,-75.7123304,150–200m,0
812,45.3719562,-75.7716715,150–200m,0
817,45.36293699999999,-75.7902349,50–100m,0
824,45.41785719999999,-75.6785462,150–200m,0
827,45.424176,-75.6856276,150–200m,0
830,45.333651799999984,-75.72636274999999,150–200m,0
831,45.39877834999999,-75.68593470000002,100–150m,0
833,45.414782666666646,-75.6904098,100–150m,0
848,45.39762009999999,-75.7271934,50–100m,0
850,45.41493633333332,-75.64291200000001,100–150m,0
855,45.27079919999999,-75.69911255,150–200m,0
858,45.4130915,-75.6862443,100–150m,0
859,45.26889934999999,-75.74544185000002,150–200m,0
867,45.4241297,-75.6882608,100–150m,0
884,45.4132181,-75.6445332,100–150m,0
898,45.27567199999999,-75.7184335,150–200m,0
899,45.27591209999999,-75.7187792,50–100m,0
900,45.2759276,-75.7184181,50–100m,0
909,45.3592746,-75.7954377,150–200m,0
913,45.2704317,-75.7053103,50–100m,0
914,45.27061319999999,-75.7055372,50–100m,0
915,45.3955495,-75.7120548,150–200m,0
916,45.3957533,-75.7120151,150–200m,0
918,45.36056774999999,-75.79237750000001,150–200m,0
919,45.36089179999998,-75.79219115000001,150–200m,0
921,45.35716659999999,-75.8006507,150–200m,0
935,45.269305799999984,-75.6997846,50–100m,0
937,45.33472459999999,-75.6932428,50–100m,0
938,45.33474069999999,-75.6929276,50–100m,0
939,45.43205289999999,-75.67784245,100–150m,0
947,45.40977109999999,-75.7150456,150–200m,0
948,45.31099719999999,-75.9171813,150–200m,0
949,45.31111955,-75.91695150000001,150–200m,0
950,45.30950704999999,-75.91789655,150–200m,0
951,45.30957999999999,-75.9175513,150–200m,0
952,45.30859759999999,-75.9156864,150–200m,0
954,45.30876039999999,-75.9158345,150–200m,0
957,45.35706989999999,-75.74954389999999,150–200m,0
958,45.35728379999999,-75.7494632,150–200m,0
962,45.35132369999999,-75.7631341,50–100m,0
964,45.35157769999999,-75.7631596,50–100m,0
975,45.3906797,-75.7231367,150–200m,0
976,45.3909303,-75.72313030000001,100–150m,0
980,45.3963302,-75.7102852,150–200m,0
981,45.39657095,-75.71028335,150–200m,0
983,45.3973965,-75.7076867,150–200m,0
984,45.397701,-75.70767535,100–150m,0
987,45.37191545,-75.76696315000001,150–200m,0
988,45.4376569,-75.6029701,100–150m,0
989,45.40097104999998,-75.6997366,150–200m,0
990,45.40117479999999,-75.6998188,150–200m,0
999,45.33406129999999,-75.7004793,50–100m,0
1000,45.33415349999999,-75.7007886,50–100m,0
1003,45.3866034,-75.7327274,50–100m,0
1004,45.38663099999999,-75.7324625,50–100m,0
1005,45.38685339999999,-75.7325228,100–150m,0
1008,45.3627521,-75.73653420000001,150–200m,0
1019,45.37002729999999,-75.770638,150–200m,0
1020,45.37030994999999,-75.77061905,150–200m,0
1021,45.37077319999999,-75.7690084,150–200m,0
1022,45.37081379999999,-75.7687117,150–200m,0
1023,45.37107879999999,-75.7687909,150–200m,0
1039,45.33897295,-75.79248494999999,150–200m,0
1040,45.33919759999998,-75.7924045,150–200m,0
1041,45.33843699999999,-75.79445640000002,150–200m,0
1042,45.33865019999999,-75.7943876,150–200m,0
1047,45.3772303,-75.7333625,150–200m,0
1055,45.40688619999999,-75.708986,100–150m,0
1058,45.38344379999999,-75.73958013333333,150–200m,0
1059,45.38484019999999,-75.74029483333334,150–200m,0
1060,45.38494589999999,-75.7406004,100–150m,0
1061,45.35262044999999,-75.7310424,100–150m,0
1072,45.3778731,-75.6732627,100–150m,0
1073,45.37796979999998,-75.6735503,100–150m,0
1074,45.37806934999999,-75.6715511,100–150m,0
1075,45.37829405,-75.6695282,50–100m,0
1076,45.37825679999999,-75.67137,50–100m,0
1077,45.3784701,-75.669266,50–100m,0
1078,45.3780959,-75.6730374,100–150m,0
1079,45.37856365,-75.6673625,50–100m,0
1080,45.37859715,-75.6676777,50–100m,0
1090,45.3861331,-75.73372900000001,50–100m,0
1091,45.38636739999998,-75.7338101,50–100m,0
1103,45.43189849999999,-75.6527575,100–150m,0
1105,45.3891458,-75.7267859,100–150m,0
1106,45.38935335,-75.72675095,50–100m,0
1114,45.32374355,-75.83414355,50–100m,0
1124,45.33290009999999,-75.6932289,150–200m,0
1125,45.33304089999999,-75.6930249,150–200m,0
1126,45.33310205,-75.6934064,150–200m,0
1155,45.4261125,-75.6879747,50–100m,0
1156,45.3960511,-75.7525335,50–100m,0
1157,45.424979575,-75.687643,100–150m,0
1159,45.396533700000006,-75.7514097,50–100m,0
1161,45.4239061,-75.6867036,50–100m,0
1167,45.36346164999999,-75.7347824,150–200m,0
1168,45.36364775,-75.73483395,150–200m,0
1175,45.35619714999999,-75.8027846,150–200m,0
1176,45.35359274999999,-75.80821245,100–150m,0
1177,45.35382455,-75.80819425000001,100–150m,0
1181,45.42891409999999,-75.6974462,100–150m,0
1186,45.3362915,-75.7246522,150–200m,0
1202,45.42005169999998,-75.7062627,100–150m,0
1223,45.3710717,-75.7690646,150–200m,0
1224,45.3693548,-75.7727008,150–200m,0
1225,45.37920809999999,-75.75021054999999,150–200m,0
1226,45.37896955,-75.75017955,150–200m,0
1237,45.27043729999999,-75.7462455,150–200m,0
1250,45.36523809999999,-75.6198616,50–100m,0
1251,45.3652864,-75.6194774,50–100m,0
1252,45.36499259999999,-75.6194433,50–100m,0
1253,45.3649452,-75.6198203,50–100m,0
1259,45.35367449999999,-75.6476265,100–150m,0
1260,45.35385879999999,-75.6473575,50–100m,0
1261,45.35375629999999,-75.6471024,50–100m,0
