intersection_cluster,geometry,lat,lon,nearest_node
803,POINT (-75.6933273 45.334474799999995),45.334474799999995,-75.6933273,901782638
806,POINT (-75.7016173 45.404477799999995),45.404477799999995,-75.7016173,1435519770
807,POINT (-75.70189270000002 45.40468539999999),45.40468539999999,-75.70189270000002,901065292
808,POINT (-75.6205717 45.36695639999999),45.36695639999999,-75.6205717,901807735
811,POINT (-75.7123304 45.395618449999986),45.395618449999986,-75.7123304,901057951
812,POINT (-75.7716715 45.3719562),45.3719562,-75.7716715,1474149279
817,POINT (-75.7902349 45.36293699999999),45.36293699999999,-75.7902349,1504423307
824,POINT (-75.6785462 45.41785719999999),45.41785719999999,-75.6785462,1524769700
827,POINT (-75.6856276 45.424176),45.424176,-75.6856276,476099852
830,POINT (-75.72636274999999 45.333651799999984),45.333651799999984,-75.72636274999999,477359929
831,POINT (-75.68593470000002 45.398778349999986),45.398778349999986,-75.68593470000002,1748067142
833,POINT (-75.6904098 45.414782666666646),45.414782666666646,-75.6904098,901058411
848,POINT (-75.7271934 45.39762009999999),45.39762009999999,-75.7271934,2169692698
850,POINT (-75.64291200000001 45.41493633333332),45.41493633333332,-75.64291200000001,2194861610
855,POINT (-75.69911255 45.27079919999999),45.27079919999999,-75.69911255,2231952192
858,POINT (-75.6862443 45.4130915),45.4130915,-75.6862443,2317854689
859,POINT (-75.74544185000002 45.26889934999999),45.26889934999999,-75.74544185000002,2321332213
867,POINT (-75.6882608 45.4241297),45.4241297,-75.6882608,2372889194
884,POINT (-75.6445332 45.413218099999995),45.413218099999995,-75.6445332,2876973935
898,POINT (-75.7184335 45.275671999999986),45.275671999999986,-75.7184335,2291987929
899,POINT (-75.7187792 45.275912099999985),45.275912099999985,-75.7187792,2321943274
900,POINT (-75.7184181 45.275927599999996),45.275927599999996,-75.7184181,901715399
909,POINT (-75.7954377 45.3592746),45.3592746,-75.7954377,1504405373
913,POINT (-75.7053103 45.270431699999996),45.270431699999996,-75.7053103,2222092885
914,POINT (-75.7055372 45.27061319999999),45.27061319999999,-75.7055372,2321909702
915,POINT (-75.7120548 45.3955495),45.3955495,-75.7120548,31391044
916,POINT (-75.7120151 45.3957533),45.3957533,-75.7120151,31391044
918,POINT (-75.79237750000001 45.36056774999999),45.36056774999999,-75.79237750000001,899983549
